Sim Threshold,Conf Threshold,Accept Rate (%),Accuracy on Accepted (%),N Accepted,N Rejected
0.2,40,100.0,96.83,63,0
0.2,45,100.0,96.83,63,0
0.2,50,100.0,96.83,63,0
0.2,55,100.0,96.83,63,0
0.2,60,100.0,96.83,63,0
0.2,65,93.7,96.61,59,4
0.2,70,0.0,0.0,0,63
0.25,40,100.0,96.83,63,0
0.25,45,100.0,96.83,63,0
0.25,50,100.0,96.83,63,0
0.25,55,100.0,96.83,63,0
0.25,60,100.0,96.83,63,0
0.25,65,93.7,96.61,59,4
0.25,70,0.0,0.0,0,63
0.3,40,100.0,96.83,63,0
0.3,45,100.0,96.83,63,0
0.3,50,100.0,96.83,63,0
0.3,55,100.0,96.83,63,0
0.3,60,100.0,96.83,63,0
0.3,65,93.7,96.61,59,4
0.3,70,0.0,0.0,0,63
0.35,40,100.0,96.83,63,0
0.35,45,100.0,96.83,63,0
0.35,50,100.0,96.83,63,0
0.35,55,100.0,96.83,63,0
0.35,60,100.0,96.83,63,0
0.35,65,93.7,96.61,59,4
0.35,70,0.0,0.0,0,63
0.4,40,100.0,96.83,63,0
0.4,45,100.0,96.83,63,0
0.4,50,100.0,96.83,63,0
0.4,55,100.0,96.83,63,0
0.4,60,100.0,96.83,63,0
0.4,65,93.7,96.61,59,4
0.4,70,0.0,0.0,0,63
0.45,40,100.0,96.83,63,0
0.45,45,100.0,96.83,63,0
0.45,50,100.0,96.83,63,0
0.45,55,100.0,96.83,63,0
0.45,60,100.0,96.83,63,0
0.45,65,93.7,96.61,59,4
0.45,70,0.0,0.0,0,63
0.5,40,100.0,96.83,63,0
0.5,45,100.0,96.83,63,0
0.5,50,100.0,96.83,63,0
0.5,55,100.0,96.83,63,0
0.5,60,100.0,96.83,63,0
0.5,65,93.7,96.61,59,4
0.5,70,0.0,0.0,0,63
